1;arms_factory;4110.00;10.20;868.00;0.78;0
1;arms_factory;4101.00;10.10;868.00;3.45;0
1;arms_factory;4242.00;10.50;920.00;1.29;0
1;arms_factory;4250.00;10.90;908.00;5.41;0
1;arms_factory;4237.00;10.60;823.00;5.51;0
1;arms_factory;4198.00;11.13;843.00;3.35;0
1;industrial_complex;4184.00;12.53;816.00;6.01;0
1;industrial_complex;4251.00;10.20;925.00;2.40;0
1;industrial_complex;4242.00;10.40;925.00;3.96;0
1;industrial_complex;4233.00;11.95;871.00;1.80;0
1;industrial_complex;4202.00;13.25;809.00;3.00;0
1;industrial_complex;4253.00;11.15;837.00;0.84;0
1;air_base;4150.00;10.70;874.00;2.40;0
1;naval_base;4231.00;9.90;793.00;0.31;132
1;naval_base;4269.00;9.90;867.00;0.67;814
1;naval_base;4264.00;9.50;957.00;-3.86;1401
1;naval_base;4099.00;9.50;872.00;-2.50;159
1;naval_base;4155.00;9.55;881.00;-2.00;159
1;naval_base;4215.00;9.65;925.00;-2.91;883
1;bunker;4192.00;10.60;883.00;1.46;0
1;bunker;4270.00;10.70;909.00;5.58;0
1;bunker;4134.00;12.73;826.00;1.96;0
1;bunker;4233.00;10.18;943.00;6.08;0
1;bunker;4233.00;10.70;828.00;6.18;0
1;bunker;4210.00;9.90;922.00;4.02;0
1;coastal_bunker;4297.00;10.15;934.00;1.13;0
1;coastal_bunker;4263.00;10.23;850.00;0.67;0
1;coastal_bunker;4142.00;9.55;878.00;-2.00;0
1;coastal_bunker;4242.00;10.10;814.00;0.31;0
1;coastal_bunker;4133.00;9.50;874.00;-2.50;0
1;coastal_bunker;4179.00;9.50;897.00;-1.83;0
1;dockyard;4236.00;10.13;804.00;0.31;0
1;anti_air_building;4237.00;10.80;830.00;5.74;0
1;anti_air_building;4197.00;10.55;869.00;3.58;0
1;anti_air_building;4151.00;13.18;843.00;5.14;0
1;synthetic_refinery;4143.00;12.93;843.00;1.52;0
1;fuel_silo;4219.00;10.60;886.00;4.19;0
1;radar_station;4190.00;11.25;875.00;1.93;0
1;rocket_site;4250.00;11.05;906.00;5.05;0
2;arms_factory;4054.00;11.10;815.00;1.29;0
2;arms_factory;4058.00;12.07;772.00;5.41;0
2;arms_factory;4085.00;12.15;781.00;5.51;0
2;arms_factory;4048.00;10.70;790.00;3.35;0
2;arms_factory;4006.00;15.75;847.00;6.01;0
2;arms_factory;4047.00;10.25;846.00;2.40;0
2;industrial_complex;4074.00;10.43;856.00;3.96;0
2;industrial_complex;4074.00;11.65;821.00;1.80;0
2;industrial_complex;4059.00;11.35;783.00;3.00;0
2;industrial_complex;4058.00;11.30;798.00;0.84;0
2;industrial_complex;4006.00;10.70;803.00;2.40;0
2;industrial_complex;4000.00;12.85;861.00;5.07;0
2;air_base;4035.00;11.70;766.00;1.45;0
2;naval_base;3983.00;9.50;850.00;-1.97;2489
2;naval_base;4057.00;9.50;850.00;-2.67;691
2;bunker;4077.00;10.80;832.00;3.51;0
2;bunker;4079.00;10.70;763.00;1.35;0
2;bunker;4008.00;11.60;811.00;1.46;0
2;bunker;3996.00;12.85;824.00;5.58;0
2;coastal_bunker;4030.00;9.65;850.00;-4.13;0
2;coastal_bunker;4078.00;9.50;861.00;-2.67;0
2;dockyard;4066.00;9.50;853.00;-2.67;0
2;anti_air_building;4092.00;11.70;838.00;4.02;0
2;anti_air_building;4058.00;11.18;809.00;0.41;0
2;anti_air_building;4073.00;12.32;815.00;3.07;0
2;synthetic_refinery;4083.00;11.53;775.00;6.09;0
2;fuel_silo;4035.00;10.30;785.00;2.47;0
2;radar_station;4041.00;10.50;810.00;0.91;0
2;rocket_site;4025.00;11.38;847.00;1.52;0
3;arms_factory;4149.00;13.65;742.00;5.51;0
3;arms_factory;4197.00;12.05;768.00;3.35;0
3;arms_factory;4144.00;10.60;794.00;6.01;0
3;arms_factory;4126.00;13.93;735.00;2.40;0
3;arms_factory;4177.00;13.35;720.00;3.96;0
3;arms_factory;4159.00;13.13;756.00;1.80;0
3;industrial_complex;4218.00;10.70;775.00;3.00;0
3;industrial_complex;4133.00;16.50;719.00;0.84;0
3;industrial_complex;4192.00;13.93;754.00;2.40;0
3;industrial_complex;4169.00;11.80;728.00;5.07;0
3;industrial_complex;4113.00;15.73;724.00;1.45;0
3;industrial_complex;4120.00;11.10;791.00;4.47;0
3;air_base;4149.00;14.00;728.00;0.85;0
3;naval_base;4222.00;10.13;771.00;1.46;132
3;naval_base;4203.00;10.13;693.00;1.25;516
3;bunker;4121.00;14.53;734.00;1.46;0
3;bunker;4210.00;12.32;789.00;5.58;0
3;bunker;4178.00;12.80;714.00;1.96;0
3;bunker;4136.00;14.55;729.00;6.08;0
3;bunker;4136.00;10.75;793.00;6.18;0
3;coastal_bunker;4223.00;10.10;773.00;1.46;0
3;coastal_bunker;4206.00;9.82;696.00;1.25;0
3;dockyard;4211.00;10.00;727.00;0.44;0
3;anti_air_building;4099.00;11.38;777.00;6.09;0
3;anti_air_building;4096.00;12.40;728.00;2.47;0
3;anti_air_building;4200.00;11.50;772.00;5.13;0
